one,21
believe,21
say,21
oh,21
something,22
down,23
when,23
did,24
let,24
keep,24
too,24
ca,24
moving,24
still,25
wa,25
blame,25
tell,26
heart,26
not,26
could,26
she,26
at,26
time,26
lip,27
na,27
hey,27
with,27
take,29
funk,29
no,29
uptown,29
give,30
lie,30
harder,32
this,34
all,35
're,35
ta,36
get,36
is,36
what,39
for,39
'cause,47
so,48
ooh,48
can,49
just,49
like,49
'll,50
baby,51
of,52
are,53
want,54
be,55
if,56
up,63
in,64
know,67
on,67
got,73
but,79
love,80
we,83
's,86
that,97
do,100
your,100
my,103
'm,106
to,113
a,118
n't,124
and,127
it,182
me,204
the,221
you,341
i,412
